skillKey,skillName,conceptId,conceptName,factId,factStatement,familyId,familyName,measurementObjective,allowedDifficultyMin,allowedDifficultyMax,cognitiveLevel,questionType,distractorStrategy,reassessmentGroup,notes,plannedD1,plannedD2,plannedD3,plannedD4,plannedD5,plannedTotal
GIT_FUNDAMENTALS,Git Fundamentals,GF_C01_PURPOSE,What version control is for,GF_F01_HISTORY_IS_RECOVERABLE,"Version control keeps a history of recorded states, so an earlier version can be recovered.",GF_FAM01_VERSION_CONTROL_PURPOSE,Recognising what version control provides,Identify what version control gives you that copying folders does not.,D1,D2,REMEMBER,mcq_single,Version control described as a backup of the current state only; as a way to share files; as automatic saving of every keystroke. The last matters because students who believe it do not commit.,GF_RG_PURPOSE,,4,1,0,0,0,5
GIT_FUNDAMENTALS,Git Fundamentals,GF_C01_PURPOSE,What version control is for,GF_F02_REPOSITORY_HOLDS_HISTORY,A repository is a project folder together with the recorded history of its changes.,GF_FAM02_REPOSITORY_RECOGNITION,Recognising what a repository contains,Say what is inside a repository and what is not.,D1,D2,REMEMBER,mcq_single,A repository as a folder on a website; as only the latest files; as something that exists only once the project is shared. The third is why beginners think they need an account to start.,GF_RG_PURPOSE,,3,1,0,0,0,4
GIT_FUNDAMENTALS,Git Fundamentals,GF_C02_COMMANDS,The everyday commands,GF_F03_COMMANDS_MOVE_BETWEEN_STATES,"Each everyday command moves work between the working folder, the staged set and the recorded history.",GF_FAM03_COMMAND_PURPOSE,Matching a command to what it moves,"Given a command, say which transition it performs.",D1,D2,REMEMBER,mcq_single,Staging confused with committing; committing believed to publish to the remote; a command that reads history offered as one that changes it. The commit-publishes belief is the most consequential.,GF_RG_COMMANDS,"Named commands are unavoidable here, but the answer is always the transition, never the spelling.",3,1,0,0,0,4
GIT_FUNDAMENTALS,Git Fundamentals,GF_C03_THREE_STATES,Where a change currently is,GF_F04_THREE_STATES,"A change is modified, staged, or committed, and only a committed change is part of the history.",GF_FAM04_STAGING_VS_COMMITTED,Telling a staged change from a recorded one,"Given a described sequence, say which state a file is in.",D2,D3,UNDERSTAND,mcq_single,Staged treated as saved into history; a modified-but-unstaged file treated as included in the next commit; a committed file treated as still staged.,GF_RG_STATES,The load-bearing concept of the whole skill.,0,1,1,0,0,2
GIT_FUNDAMENTALS,Git Fundamentals,GF_C04_COMMITS,What a commit is,GF_F05_COMMIT_RECORDS_A_SNAPSHOT,"A commit records the staged changes with a message, and does not include work that was never staged.",GF_FAM05_COMMIT_CONTENTS,What a commit does and does not contain,"Given files in mixed states, say which are captured by the next commit.",D2,D3,APPLY,mcq_single,Every changed file assumed included; only the last edited file included; changes made after staging assumed to be captured. The third is subtle and common.,GF_RG_STATES,Editing a file after staging it is the sharpest stem.,0,1,1,0,0,2
GIT_FUNDAMENTALS,Git Fundamentals,GF_C03_THREE_STATES,Where a change currently is,GF_F04_THREE_STATES,"A change is modified, staged, or committed, and only a committed change is part of the history.",GF_FAM06_STATE_AFTER_COMMANDS,Tracing file state through a sequence of commands,Give the state of each named file after a short run of commands.,D2,D4,APPLY,mcq_single,The state one command earlier; every file assumed to move together; a file assumed to leave the working folder once committed. Show the command sequence in the stem.,GF_RG_STATES,"Same fact as GF_FAM04, traced rather than defined.",0,1,1,1,0,3
GIT_FUNDAMENTALS,Git Fundamentals,GF_C05_REMOTE,Local and remote,GF_F06_LOCAL_AND_REMOTE_DIVERGE,The local history and the remote history are separate and only match when changes are deliberately sent or fetched.,GF_FAM07_LOCAL_VS_REMOTE,Reasoning about which history holds what,Say which of the local and remote histories contains a described change.,D2,D4,ANALYZE,mcq_single,"A commit assumed to appear on the remote immediately; the remote assumed to be the only real history; a teammate assumed to see uncommitted work. This is the misconception behind most ""my code is gone"" reports.",GF_RG_REMOTE,,0,1,1,1,0,3
GIT_FUNDAMENTALS,Git Fundamentals,GF_C05_REMOTE,Local and remote,GF_F07_SEND_AND_FETCH_ARE_EXPLICIT,Sending publishes local commits; fetching brings remote commits down. Neither happens on its own.,GF_FAM08_PUSH_PULL_EFFECT,What sending and fetching change,Say what each side holds after a described send or fetch.,D2,D4,APPLY,mcq_single,Sending assumed to also bring changes down; fetching assumed to overwrite local work; either assumed to include uncommitted changes.,GF_RG_REMOTE,,0,1,1,1,0,3
GIT_FUNDAMENTALS,Git Fundamentals,GF_C06_HISTORY,Reading the history,GF_F08_HISTORY_IS_ORDERED,"The history is an ordered record, most recent first, and each entry names what changed and when.",GF_FAM09_HISTORY_READING,Answering a question from a history listing,"Given a history listing in the stem, answer which change came first or which commit introduced something.",D2,D4,APPLY,mcq_single,The listing read bottom-up as chronological; the most recent entry assumed to contain every change; a message assumed to describe the whole state rather than one change.,GF_RG_HISTORY,"Show a real listing. The item is unanswerable without reading it, which is the point.",0,1,1,1,0,3
GIT_FUNDAMENTALS,Git Fundamentals,GF_C07_IGNORING,Files left out,GF_F09_IGNORED_FILES_ARE_NOT_TRACKED,An ignored file is left out of the history but still exists in the working folder.,GF_FAM10_IGNORE_BEHAVIOUR,What ignoring a file does,Say what happens to an ignored file locally and in the history.,D2,D4,UNDERSTAND,mcq_single,Ignoring assumed to delete the file; assumed to remove a file already committed (it does not); assumed to hide it from the working folder. The already-committed case is the D4 measurement.,GF_RG_HISTORY,,0,1,1,1,0,3
