skillKey,skillName,conceptId,conceptName,factId,factStatement,familyId,familyName,measurementObjective,allowedDifficultyMin,allowedDifficultyMax,cognitiveLevel,questionType,distractorStrategy,reassessmentGroup,notes,plannedD1,plannedD2,plannedD3,plannedD4,plannedD5,plannedTotal
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C01_BASES,What a base is,NS_F01_BASE_FIXES_THE_DIGITS,"A base fixes which digits may appear: base 2 allows 0 and 1, base 8 allows 0 to 7, base 16 allows 0 to 9 and A to F.",NS_FAM01_LEGAL_DIGITS,Recognising which digits a base allows,"Given a written number, say which base it could not possibly be in.",D1,D2,REMEMBER,mcq_single,"A number containing an 8 offered as octal and a 2 offered as binary — the two commonest slips; a hex number rejected because it contains letters, for the student who thinks letters are never digits.",NS_RG_BASES,The widest entry point in the skill. A student with no background should still be able to attempt it from the digit rule alone.,4,1,0,0,0,5
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C01_BASES,What a base is,NS_F02_POSITION_CARRIES_A_WEIGHT,"Each position carries a weight that is a power of the base, counting from zero at the right.",NS_FAM02_PLACE_VALUE,Naming the weight of a position,"Given a binary number and a marked position, state what that position is worth.",D1,D2,REMEMBER,mcq_single,"Weights counted from the left; counting started at one rather than zero, which shifts every answer by a factor of two; the digit itself offered as its value.",NS_RG_BASES,,3,1,0,0,0,4
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C02_UNITS,Bits and bytes,NS_F03_A_BIT_IS_ONE_OF_TWO,A bit holds one of two values and a byte is eight bits; n bits distinguish 2^n different values.,NS_FAM03_BIT_BYTE_UNITS,Recognising what a bit and a byte are,"Given a stated width in bits, say how many distinct values it can hold.",D1,D2,REMEMBER,mcq_single,"2n offered instead of 2^n — the dominant error; 2^n minus one, which is the largest value rather than the count of values; n^2 for the student pattern-matching on exponents.",NS_RG_BASES,"Keep widths at or below eight so the answer is recalled or reasoned, never computed on paper.",3,1,0,0,0,4
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C03_CONVERSION,Moving between bases,NS_F04_BINARY_TO_DECIMAL_SUMS_WEIGHTS,A binary number converts to decimal by adding the weights of the positions holding a 1.,NS_FAM04_BINARY_TO_DECIMAL,Converting binary to decimal,"Given a binary number of at most six bits, give its decimal value.",D2,D3,UNDERSTAND,mcq_single,"The weights read in reverse — the error that only shows on numbers that are not palindromes, so no stem should be one; the count of 1 bits offered as the value; a result one too high from starting the weights at 2.",NS_RG_CONVERSION,"Every stem must be asymmetric, or reversing the digits produces the same answer and the commonest error goes unmeasured.",0,1,1,0,0,2
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C03_CONVERSION,Moving between bases,NS_F05_DECIMAL_TO_BINARY_TAKES_LARGEST_WEIGHTS,"A decimal number converts to binary by repeatedly taking the largest weight that fits, or equivalently by repeated division by two.",NS_FAM05_DECIMAL_TO_BINARY,Converting decimal to binary,"Given a decimal number below 64, give its binary form.",D2,D3,UNDERSTAND,mcq_single,Remainders read in the order produced rather than reversed — the classic division-method slip; a bit dropped from the middle; the value of a neighbouring number.,NS_RG_CONVERSION,,0,1,1,0,0,2
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C03_CONVERSION,Moving between bases,NS_F06_HEX_GROUPS_FOUR_BITS,"One hexadecimal digit stands for exactly four bits, which is why hex is used to write binary compactly.",NS_FAM06_HEX_GROUPING,Converting between hex and binary by grouping,"Given a hex value or a binary string, produce the other by grouping in fours.",D2,D4,APPLY,mcq_single,"Grouping from the left, which misaligns whenever the length is not a multiple of four; groups of three, borrowed from octal; a correct grouping with one digit converted as decimal.",NS_RG_CONVERSION,"At least one stem should have a bit length that is not a multiple of four, since that is where left-grouping fails.",0,1,1,1,0,3
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C03_CONVERSION,Moving between bases,NS_F07_OCTAL_GROUPS_THREE_BITS,"One octal digit stands for exactly three bits, by the same argument that gives hex four.",NS_FAM07_OCTAL_GROUPING,Converting between octal and binary,"Given an octal value or a binary string, produce the other by grouping in threes.",D2,D4,APPLY,mcq_single,"Groups of four, carried over from hex — the productive confusion between the two grouping rules; grouping from the left; an octal digit above 7 offered as plausible.",NS_RG_CONVERSION,,0,1,1,1,0,3
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C04_ARITHMETIC,Calculating in binary,NS_F08_BINARY_ADDITION_CARRIES_AT_TWO,"Binary addition carries when a column reaches two, exactly as decimal carries at ten.",NS_FAM08_BINARY_ADDITION,Adding two binary numbers,"Given two binary numbers of at most five bits, give their sum.",D2,D4,APPLY,mcq_single,"A column left as 2 rather than carried; the carry dropped at the leftmost column, which shortens the answer; a bitwise OR result, which agrees with the sum everywhere except where a carry happens.",NS_RG_ARITHMETIC,"The OR distractor is the strongest one available here and every stem must involve at least one carry, or it does not discriminate.",0,1,1,1,0,3
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C05_WIDTH,What a fixed width can hold,NS_F09_WIDTH_BOUNDS_THE_RANGE,"An unsigned field of n bits represents the values 0 to 2^n minus 1, and nothing outside them.",NS_FAM09_RANGE_FROM_WIDTH,Deriving the range a width allows,"Given a width in bits, give the largest value it can hold, or the width a stated value needs.",D2,D4,APPLY,mcq_single,2^n offered as the maximum — the off-by-one that this family exists to catch; a width one too small for a value that sits exactly on a power of two; the count of values given where the maximum was asked.,NS_RG_WIDTH,Values on a power-of-two boundary are the discriminating stems; 256 needing nine bits rather than eight is the canonical case.,0,1,1,1,0,3
NUMBER_SYSTEMS_BINARY,Number Systems & Binary,NS_C04_ARITHMETIC,Calculating in binary,NS_F10_SHIFTING_SCALES_BY_TWO,"Shifting a binary number one place left doubles it and one place right halves it, discarding what falls off the end.",NS_FAM10_SHIFT_EFFECT,Predicting the effect of a shift,"Given a value and a shift, state the resulting value.",D2,D4,APPLY,mcq_single,"The direction reversed, so the value halves where it should double; the discarded bit assumed to wrap around to the other end; a right shift of an odd number rounded up rather than truncated.",NS_RG_ARITHMETIC,"Odd numbers shifted right are the stem that separates understanding from the memorised ""shift means multiply"".",0,1,1,1,0,3
