skillKey,familyId,difficulty,allocated,legacyUsed,legacySources,legacyOrigins,toAuthor
PROGRAMMING_FUNDAMENTALS,PGF_FAM01_ASSIGNMENT_DIRECTION,D1,4,0,,,4
PROGRAMMING_FUNDAMENTALS,PGF_FAM01_ASSIGNMENT_DIRECTION,D2,1,1,71d550,KEEP,0
PROGRAMMING_FUNDAMENTALS,PGF_FAM02_LITERAL_TYPE,D1,3,0,,,3
PROGRAMMING_FUNDAMENTALS,PGF_FAM02_LITERAL_TYPE,D2,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM03_SINGLE_OUTPUT,D1,3,0,,,3
PROGRAMMING_FUNDAMENTALS,PGF_FAM03_SINGLE_OUTPUT,D2,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM04_VARIABLE_STATE_TRACE,D2,1,1,79de1b,KEEP,0
PROGRAMMING_FUNDAMENTALS,PGF_FAM04_VARIABLE_STATE_TRACE,D3,1,1,7b1a89,KEEP,0
PROGRAMMING_FUNDAMENTALS,PGF_FAM05_EXPRESSION_EVALUATION,D2,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM05_EXPRESSION_EVALUATION,D3,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM06_PRECEDENCE_REASONING,D2,1,1,094b60,REMAP,0
PROGRAMMING_FUNDAMENTALS,PGF_FAM06_PRECEDENCE_REASONING,D3,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM06_PRECEDENCE_REASONING,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM07_TYPE_DRIVEN_OPERATOR,D2,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM07_TYPE_DRIVEN_OPERATOR,D3,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM07_TYPE_DRIVEN_OPERATOR,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM08_INPUT_CONVERSION,D2,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM08_INPUT_CONVERSION,D3,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM08_INPUT_CONVERSION,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM09_STATEMENT_ORDER,D2,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM09_STATEMENT_ORDER,D3,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM09_STATEMENT_ORDER,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM10_DIVISION_BEHAVIOUR,D2,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM10_DIVISION_BEHAVIOUR,D3,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM10_DIVISION_BEHAVIOUR,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM11_ERROR_CLASSIFICATION,D3,1,1,c0d49c,REMAP,0
PROGRAMMING_FUNDAMENTALS,PGF_FAM11_ERROR_CLASSIFICATION,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM12_INITIALISATION_DIAGNOSIS,D3,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM12_INITIALISATION_DIAGNOSIS,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM13_MULTI_VARIABLE_TRACE,D3,1,1,73aff5,KEEP,0
PROGRAMMING_FUNDAMENTALS,PGF_FAM13_MULTI_VARIABLE_TRACE,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM13_MULTI_VARIABLE_TRACE,D5,3,0,,,3
PROGRAMMING_FUNDAMENTALS,PGF_FAM14_EDGE_INPUT_BEHAVIOUR,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM14_EDGE_INPUT_BEHAVIOUR,D5,4,0,,,4
PROGRAMMING_FUNDAMENTALS,PGF_FAM15_FRAGMENT_EQUIVALENCE,D4,1,0,,,1
PROGRAMMING_FUNDAMENTALS,PGF_FAM15_FRAGMENT_EQUIVALENCE,D5,3,0,,,3
PYTHON_BASICS,PY_FAM01_LITERAL_TYPE,D1,4,0,,,4
PYTHON_BASICS,PY_FAM01_LITERAL_TYPE,D2,1,1,940444,KEEP,0
PYTHON_BASICS,PY_FAM02_PRINT_OUTPUT,D1,3,1,999d5f,KEEP,2
PYTHON_BASICS,PY_FAM02_PRINT_OUTPUT,D2,1,0,,,1
PYTHON_BASICS,PY_FAM03_IDENTIFIER_VALIDITY,D1,3,0,,,3
PYTHON_BASICS,PY_FAM03_IDENTIFIER_VALIDITY,D2,1,0,,,1
PYTHON_BASICS,PY_FAM04_ASSIGNMENT_TRACE,D2,1,1,6a6e81,KEEP,0
PYTHON_BASICS,PY_FAM04_ASSIGNMENT_TRACE,D3,1,0,,,1
PYTHON_BASICS,PY_FAM05_STRING_INDEXING,D2,1,0,,,1
PYTHON_BASICS,PY_FAM05_STRING_INDEXING,D3,1,0,,,1
PYTHON_BASICS,PY_FAM06_STRING_METHOD_RESULT,D2,1,1,6f6039,REWRITE,0
PYTHON_BASICS,PY_FAM06_STRING_METHOD_RESULT,D3,1,0,,,1
PYTHON_BASICS,PY_FAM07_LIST_MUTATION,D2,1,0,,,1
PYTHON_BASICS,PY_FAM07_LIST_MUTATION,D3,1,1,66b937,KEEP,0
PYTHON_BASICS,PY_FAM07_LIST_MUTATION,D4,1,0,,,1
PYTHON_BASICS,PY_FAM08_INPUT_TYPE,D2,1,0,,,1
PYTHON_BASICS,PY_FAM08_INPUT_TYPE,D3,1,0,,,1
PYTHON_BASICS,PY_FAM08_INPUT_TYPE,D4,1,0,,,1
