questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_AC_001,AI_ASSISTED_CODING,AC_C01_STATUS,AC_F01_A_SUGGESTION_IS_A_CLAIM,AC_FAM01_SUGGESTION_STATUS,AC_RG_STATUS,D1,REMEMBER,mcq_single,A generated suggestion compiles without complaint. What does that establish?,That it works correctly,"That it is well formed, and nothing about whether it does the right thing",That it matches what was asked for,That it has been checked,B,"That it is well formed, and nothing about whether it does the right thing",Compiling is a statement about form. Code that computes entirely the wrong answer compiles just as readily as code that computes the right one.,AUTHORED,
GB_AC_002,AI_ASSISTED_CODING,AC_C01_STATUS,AC_F01_A_SUGGESTION_IS_A_CLAIM,AC_FAM01_SUGGESTION_STATUS,AC_RG_STATUS,D1,REMEMBER,mcq_single,A suggestion arrives with a clear explanation of how it works. What has the explanation established?,That the author understood the problem,That the code matches the explanation,That the code has been tested,Nothing on its own; it was produced the same way the code was,D,Nothing on its own; it was produced the same way the code was,The explanation is another piece of generated text rather than a report on the code. Whether the two agree is something a reader has to check.,AUTHORED,
GB_AC_003,AI_ASSISTED_CODING,AC_C01_STATUS,AC_F01_A_SUGGESTION_IS_A_CLAIM,AC_FAM01_SUGGESTION_STATUS,AC_RG_STATUS,D1,REMEMBER,mcq_single,What is the status of a generated suggestion before anyone has examined it?,A proposal that has not been checked,A working solution,A draft that is probably wrong,A solution that works for the common case,A,A proposal that has not been checked,It is neither established as right nor established as wrong. Assuming either without looking is what the review exists to prevent.,AUTHORED,
GB_AC_004,AI_ASSISTED_CODING,AC_C01_STATUS,AC_F01_A_SUGGESTION_IS_A_CLAIM,AC_FAM01_SUGGESTION_STATUS,AC_RG_STATUS,D1,REMEMBER,mcq_single,"A developer accepts a suggestion without reading it, reasoning that it can be reverted if it turns out to be wrong. What does that reasoning overlook?",That reverting is technically difficult,That the suggestion cannot be reverted once accepted,"That a wrong result may not announce itself, so there may be nothing prompting a revert",Nothing; reverting is a sufficient safeguard,C,"That a wrong result may not announce itself, so there may be nothing prompting a revert",Reverting answers the case where the fault is noticed. The suggestions worth worrying about are the ones that produce plausible wrong answers quietly.,AUTHORED,
GB_AC_005,AI_ASSISTED_CODING,AC_C01_STATUS,AC_F01_A_SUGGESTION_IS_A_CLAIM,AC_FAM01_SUGGESTION_STATUS,AC_RG_STATUS,D2,REMEMBER,mcq_single,"A developer refuses to use generated suggestions at all, on the grounds that they cannot be trusted. What is wrong with that position?",Nothing; generated code should never be used,Unverified is not the same as wrong; the suggestion needs checking rather than refusing,Generated suggestions are correct often enough to accept without checking,The position is right for code and wrong for tests,B,Unverified is not the same as wrong; the suggestion needs checking rather than refusing,Blanket refusal and blanket acceptance are the same error with the sign reversed: both replace looking at the code with a policy about where it came from.,AUTHORED,
GB_AC_006,AI_ASSISTED_CODING,AC_C02_REQUIREMENT,AC_F02_WORKING_CODE_MAY_ANSWER_A_DIFFERENT_QUESTION,AC_FAM02_REQUIREMENT_MATCH,AC_RG_REQUIREMENT,D1,UNDERSTAND,mcq_single,A developer asks for a function returning the second largest value in a list. The suggestion sorts the list and returns the second element. Does it meet the requirement?,"Yes, sorting then taking the second is correct","Yes, provided the list has no duplicates",It cannot be decided without running it,No; it returns the second smallest,D,No; it returns the second smallest,"Sorting puts the smallest first, so the second element is the second smallest. The code is well written and answers a different question.",AUTHORED,
GB_AC_007,AI_ASSISTED_CODING,AC_C02_REQUIREMENT,AC_F02_WORKING_CODE_MAY_ANSWER_A_DIFFERENT_QUESTION,AC_FAM02_REQUIREMENT_MATCH,AC_RG_REQUIREMENT,D1,UNDERSTAND,mcq_single,A developer asks for a function that removes duplicates while keeping the original order. The suggestion removes duplicates and returns the values sorted. Does it meet the requirement?,No; the ordering requirement was not met,"Yes, since the duplicates were removed","Yes, since sorting is a reasonable ordering",It depends on whether the input was already sorted,A,No; the ordering requirement was not met,Half the requirement was met and the other half was replaced with something else. Sorted is an order and not the order that was asked for.,AUTHORED,
GB_AC_008,AI_ASSISTED_CODING,AC_C02_REQUIREMENT,AC_F02_WORKING_CODE_MAY_ANSWER_A_DIFFERENT_QUESTION,AC_FAM02_REQUIREMENT_MATCH,AC_RG_REQUIREMENT,D1,UNDERSTAND,mcq_single,"A suggestion is well written, clearly named and correctly indented, and computes a total that includes tax where the requirement said to exclude it. Should it be accepted?","Yes, since the style shows it was carefully produced","Yes, with a comment noting the difference",No; the style is good and the behaviour is wrong,It cannot be decided without seeing the tax rate,C,No; the style is good and the behaviour is wrong,Presentation and behaviour are independent. Well-written code that computes the wrong figure is harder to reject precisely because it looks finished.,AUTHORED,
GB_AC_009,AI_ASSISTED_CODING,AC_C02_REQUIREMENT,AC_F02_WORKING_CODE_MAY_ANSWER_A_DIFFERENT_QUESTION,AC_FAM02_REQUIREMENT_MATCH,AC_RG_REQUIREMENT,D2,UNDERSTAND,mcq_single,A reviewer rejects a suggestion because it uses a loop where the team usually uses a built-in operation. The behaviour is exactly what was requested. Is the rejection about the requirement?,Yes; using the wrong construct means the requirement was not met,"No; it is about house style, which is a separate matter from meeting the requirement",Yes; house style is part of every requirement,"No, and style objections should never be raised",B,"No; it is about house style, which is a separate matter from meeting the requirement",The style point may well be worth making and is not a requirement failure. Confusing the two makes review feedback impossible to prioritise.,AUTHORED,
GB_AC_010,AI_ASSISTED_CODING,AC_C03_INVENTION,AC_F03_A_PLAUSIBLE_NAME_MAY_NAME_NOTHING,AC_FAM03_INVENTED_REFERENCE,AC_RG_INVENTION,D1,UNDERSTAND,mcq_single,A suggestion calls a method named parseFlexibleDate on a date library. Which part of the suggestion most needs checking before use?,Whether the variable names follow house style,Whether the indentation is consistent,Whether the call is on its own line,Whether that method exists in the library,D,Whether that method exists in the library,"A plausible method name is exactly what generation produces, and one that does not exist fails only when the code runs. Layout can be checked at a glance and costs nothing if wrong.",AUTHORED,
